no.,domain,domain_name,siteID,site_name,state,latitude,longitude,elevation_m,MAT_C,MAP_mm,Temp_s,Prec_s,started_year,end_year,duration,no.plot,spa_dist,alpha_div,beta_div1,gamma_div,beta_div2,tau_div,spe_sta,spe_asyn,alpha_sta,spa_asyn1,gamma_sta,spa_asyn2,tau_sta,slope_alpha_sta~alpha_div,slope_spa_asyn1~beta_div1,slope_gamma_sta~gamma_div,se_alpha,se_beta1,se_gamma
1,D01,Northeast,BART,Bartlett Experimental Forest,NH,44.06388,-71.28731,232,4.8,1300,9658,10,2014,2020,7,26,2.386602351,1.132819044,1.06780579,2.192328607,1.588608992,3.780937599,0.020178979,0.446234821,0.4664138,0.466185522,0.932599323,0.672327833,1.604927155,0.459873559,-0.280733649,0.522504576,0.118635521,0.321412261,0.206021214
2,D01,Northeast,HARV,Harvard Forest,MA,42.5369,-72.17266,351,7.2,1120,9364,8,2014,2020,7,30,3.463394052,2.012837397,1.131359926,3.126551659,1.861935402,4.988487061,0.02031043,0.615087607,0.635398037,0.356305518,0.991703555,0.26092461,1.252628165,0.511636617,0.35576382,0.690269679,0.082859526,0.20419185,0.166233465
3,D02,Mid-Atlantic,BLAN,Blandy Experimental Farm,VA,39.06026,-78.07164,183,11.7,966,8544,15,2015,2020,6,19,3.589682018,2.074094933,1.10050901,3.17175094,1.773456549,4.945207489,-0.141635491,1.087745216,0.946109725,0.528596434,1.474706159,0.37133526,1.846041419,-0.778075263,-1.068686759,0.369602559,0.332737973,1.128313548,1.093779499
4,D02,Mid-Atlantic,SCBI,Smithsonian Conservation Biology Institute,VA,38.89292,-78.1395,361,11.2,1020,8428,15,2014,2020,7,21,2.215653351,2.307366875,1.178348469,3.468082771,1.587252702,5.055335473,0.058104893,0.713046828,0.77115172,0.639328505,1.410480225,0.614057052,2.024537277,0.212651186,0.394105752,0.569837441,0.168654965,0.499238885,0.22934504
5,D02,Mid-Atlantic,SERC,Smithsonian Environmental Research Center,MD,38.89008,-76.56001,15,13.1,1072,8441,13,2015,2019,5,31,1.533936156,2.226191633,1.087202703,3.342291712,1.729125055,5.071416766,0.15829421,0.591048018,0.749342229,0.506088018,1.255430247,0.766979721,2.022409968,0.47447561,1.063651994,0.807257103,0.097881405,0.539031211,0.207243822
6,D03,Southeast,DSNY,Disney Wilderness Preserve,FL,28.12504,-81.4362,15,22.4,1208,4299,51,2014,2019,6,15,1.776517129,2.268252414,1.132241273,3.397486802,1.660879895,5.058366697,-0.131552598,1.075110022,0.943557424,0.531255991,1.474813415,0.925594668,2.400408083,0.135717004,0.37671013,0.318469329,0.186786234,0.550367804,0.420162216
7,D03,Southeast,JERC,Jones Ecological Research Center,GA,31.19484,-84.46861,44,19.3,1326,6292,23,2015,2019,5,31,1.145177302,2.656983253,1.303612843,3.94751469,1.924603099,5.872117789,-0.226053458,0.993940127,0.767886669,0.455611017,1.223497686,0.666993455,1.890491142,0.599731223,-0.39902026,0.566914208,0.104958848,0.337447308,0.198196203
8,D03,Southeast,OSBS,Ordway-Swisher Biological Station,FL,29.68927,-81.99343,45,20.3,1313,5295,41,2014,2019,6,17,3.140639223,1.724384686,1.339966242,3.05981113,1.935146351,4.994957481,-0.083151193,0.650876058,0.567724866,0.589912741,1.157637607,0.362758286,1.520395892,0.042036909,0.763121093,-0.232640278,0.106328097,0.689195861,0.233726206
9,D04,Atlantic Neotropical,GUAN,Guanica Forest,PR,17.96955,-66.8687,143,25.9,916,1154,55,2015,2019,5,19,2.511476932,1.523478613,1.401036867,2.897364793,1.721708298,4.619073091,-0.363472145,0.578083342,0.214611197,0.546391097,0.761002294,0.563377143,1.324379437,0.132230899,0.103009379,0.013746815,0.169983459,0.570417296,0.466480877
10,D04,Atlantic Neotropical,LAJA,Lajas Experimental Station,PR,18.02125,-67.0769,24,25.1,1474,1180,45,2016,2019,4,30,0.910729961,1.05713904,1.089673129,2.162364712,2.342985138,4.505349851,-0.482553559,1.225872541,0.743318983,0.406525718,1.149844701,0.840260676,1.990105377,-0.284869348,0.558435557,0.093479325,0.273051116,0.289067485,0.273217577
11,D05,Great Lakes,STEI,Steigerwaldt Land Services,WI,45.50894,-89.58637,481,4.4,798,11074,45,2015,2019,5,32,11.28849814,2.122167972,1.211006217,3.336658861,1.912468262,5.249127122,-0.076364561,0.759764557,0.683399996,0.611033143,1.294433138,0.936215681,2.230648819,0.035560766,0.041157863,0.11087535,0.094572278,0.516883869,0.168272099
12,D05,Great Lakes,TREE,Treehaven,WI,45.49369,-89.58571,472,4.5,808,11084,44,2015,2019,5,29,1.536798389,2.307572635,1.081117443,3.384273366,1.767861491,5.152134856,0.042487304,0.670978004,0.713465308,0.461816064,1.175281371,0.681164251,1.856445622,0.109109417,0.336727321,-0.040229248,0.092499081,0.462341593,0.192051874
13,D05,Great Lakes,UNDE,UNDERC,MI,46.23388,-89.53725,518,3.7,850,10892,37,2014,2019,6,27,2.972635224,2.032544838,1.162053593,3.192861351,1.872893242,5.065754593,0.002244042,0.636881336,0.639125377,0.580483832,1.219609209,0.910170018,2.129779227,0.155274093,-0.112626894,0.021275453,0.093151444,0.217523887,0.149070908
14,D06,Prairie Peninsula,KONZ,Konza Prairie Biological Station,KS,39.10077,-96.56309,381,12.1,866,9980,51,2016,2019,4,32,2.392549541,2.543691345,1.076246824,3.611762151,1.695267156,5.307029307,0.00962551,0.733998126,0.743623636,0.289539115,1.033162751,0.143906707,1.177069458,-0.012600417,0.574434804,-0.160373951,0.226363983,0.320605058,0.396318727
15,D06,Prairie Peninsula,UKFS,The University of Kansas Field Station,KS,39.04043,-95.19215,335,12.6,965,9696,46,2016,2019,4,33,0.93546031,2.419610266,1.115775793,3.535896022,1.864526567,5.400422589,-0.035759948,0.662930578,0.62717063,0.468558733,1.095729363,0.452135891,1.547865253,0.388347492,1.146894494,0.214322165,0.184557016,0.436396034,0.36390893
16,D07,Appalachians & Cumberland Plateau,GRSM,"Great Smoky Mountains National Park, Twin Creeks",TN,35.68896,-83.50195,579,12.7,1340,7428,13,2015,2019,5,30,10.50683411,1.898369204,1.191107461,3.068362965,2.01799804,5.086361005,0.036786072,0.565034217,0.60182029,0.65651683,1.25833712,0.599541043,1.857878163,0.212262471,-0.655329089,0.234235556,0.081044087,0.605194756,0.168301089
17,D07,Appalachians & Cumberland Plateau,ORNL,Oak Ridge,TN,35.96412,-84.2826,334,13.9,1356,7916,15,2014,2020,7,20,5.669662656,2.129612555,1.283630576,3.373189757,1.564362681,4.937552437,-0.061966203,0.674621618,0.612655415,0.747048697,1.359704112,0.52501374,1.884717852,0.110258412,-0.90753261,0.384457352,0.128604346,0.445483372,0.241545927
18,D08,Ozarks Complex,DELA,Dead Lake,AL,32.54172,-87.80389,22,17.5,1382,7107,21,2015,2020,6,29,0.730869995,2.044629201,1.296812801,3.327472478,1.644652961,4.972125439,-0.194679835,0.696891971,0.502212136,0.340317581,0.842529718,0.182115625,1.024645342,0.08094958,0.468553781,-0.072971683,0.115907186,0.243480904,0.200016639
19,D08,Ozarks Complex,LENO,Lenoir Landing,AL,31.85388,-88.16122,20,17.9,1493,6794,20,2016,2019,4,33,1.492725422,1.82863429,1.36798765,3.173624845,1.79271019,4.966335035,-0.149465313,0.67294842,0.523483107,0.426029323,0.94951243,0.456410558,1.405922989,0.350069181,0.504277094,0.675257101,0.099582744,0.684044922,0.229403731
20,D08,Ozarks Complex,TALL,Talladega National Forest,AL,32.95046,-87.39327,135,17.1,1425,7154,18,2014,2019,6,22,2.3670789,2.002324238,1.405378628,3.382591008,1.755166293,5.137757302,-0.289695204,0.851543018,0.561847814,0.509234345,1.071082159,0.447117401,1.51819956,-0.048861028,0.195116502,-0.480916423,0.123412797,0.354472148,0.204617929
21,D09,Northern Plains,DCFS,Dakota Coteau Field School,ND,47.16165,-99.10656,559,4.7,442,12078,68,2017,2020,4,33,6.117486804,2.43896517,1.111028141,3.549269015,1.454677291,5.003946306,0.31164513,0.784240514,1.095885644,0.589408972,1.685294616,0.226746357,1.912040973,0.100919597,0.512856744,0.251764448,0.086817864,0.597327388,0.264141206
22,D09,Northern Plains,NOGP,Northern Great Plains Research Laboratory,ND,46.76972,-100.91535,578,5.4,418,11524,65,2016,2020,5,31,0.92078062,1.83638783,1.235997449,3.08574988,1.72154449,4.80729437,0.259846594,0.708202446,0.96804904,0.582289986,1.550339026,0.343720179,1.894059205,0.065571766,0.66797924,0.132155222,0.098251887,0.367010462,0.133922213
23,D09,Northern Plains,WOOD,Woodworth,ND,47.12823,-99.24136,579,4.6,431,12121,71,2014,2020,7,24,1.75780052,1.804573839,1.084638501,2.841581594,1.777773227,4.619354821,0.059841464,0.618484174,0.678325638,0.290422178,0.968747816,0.276972676,1.245720492,0.19068571,0.212433352,0.096668667,0.061322862,0.091079866,0.086758972
24,D10,Central Plains,CPER,Central Plains Experimental Range,CO,40.81553,-104.7456,1648,8.6,362,8565,58,2013,2020,8,22,4.232261364,2.193983852,0.926410709,3.116792761,1.297519537,4.414312298,-0.130187927,0.730471434,0.600283507,0.133190368,0.733473875,0.077647741,0.811121617,0.260843963,0.181590461,0.438579536,0.110226896,0.128543225,0.133089453
25,D10,Central Plains,RMNP,"Rocky Mountain National Park, CASTNET",CO,40.27591,-105.54592,2743,0.4,641,7349,17,2017,2020,4,33,4.164842296,1.409692714,1.41824325,2.76974377,2.12809603,4.8978398,0.086153923,0.567962944,0.654116867,0.566680723,1.22079759,0.340847192,1.561644782,0.124880196,0.131450357,-0.085897988,0.091442019,0.206743376,0.151427291
26,D10,Central Plains,STER,"North Sterling, CO",CO,40.4619,-103.0293,1364,9.2,419,9230,72,2014,2020,7,6,1.233789688,1.618916656,0.740759577,2.360404664,0.805672975,3.166077639,-0.698879562,1.095727023,0.396847462,0.172248264,0.569095726,0.143744582,0.712840307,-0.512245607,-0.172809548,-0.097391239,0.639416353,0.216076493,0.443408723
27,D11,Southern Plains,CLBJ,LBJ National Grassland ,TX,33.40123,-97.57,259,17.6,874,8039,35,2016,2019,4,22,3.638716422,2.29817196,1.312727884,3.589184676,1.868270912,5.457455588,-0.088569985,0.682751196,0.594181211,0.626033607,1.220214818,0.569040205,1.789255023,0.252348521,-1.413695161,0.001474298,0.110764727,0.885180815,0.422146236
28,D11,Southern Plains,OAES,Klemme Range Research Station,OK,35.41059,-99.05879,516,15.5,698,8992,47,2015,2019,5,29,1.249630004,2.269723429,1.108341224,3.374640964,1.453672773,4.828313737,-0.016442958,0.703101779,0.686658821,0.141464467,0.828123288,0.143425828,0.971549115,0.168673175,0.231675324,0.141414569,0.173560816,0.213461484,0.178840905
29,D13,Southern Rockies & Colorado Plateau,MOAB,Moab,UT,38.24833,-109.38827,1767,9.8,312,8964,23,2015,2019,5,10,3.769443681,1.726331664,0.955549071,2.59076704,1.250833501,3.841600541,-0.00214018,0.514371753,0.512231573,0.206168886,0.71840046,0.165133193,0.883533652,0.326269897,0.362240099,-0.166751228,0.09010958,0.286398585,0.333717643
30,D13,Southern Rockies & Colorado Plateau,NIWO,Niwot Ridge Mountain Research Station,CO,40.05425,-105.58237,3513,-0.5,705,7330,16,2015,2020,6,31,1.903186432,2.062754017,1.120577116,2.996269763,1.82132001,4.817589774,-0.154533505,1.144683813,0.990150308,0.438533931,1.42868424,0.351224713,1.779908952,0.200282909,0.178235025,0.104987752,0.056132294,0.137923898,0.089318972
31,D14,Desert Southwest,JORN,Jornada LTER,NM,32.59068,-106.84254,1329,14.9,256,7634,73,2015,2019,5,19,2.723728774,1.377704946,1.205044953,2.546150275,1.486318883,4.032469159,0.043254751,0.369042595,0.412297346,0.171037949,0.583335295,0.129443651,0.712778946,-0.428233373,0.135931716,-0.114754417,0.197863381,0.143719388,0.295552038
32,D14,Desert Southwest,SRER,Santa Rita Experimental Range,AZ,31.91068,-110.83549,983,19,346,6840,77,2016,2019,4,33,5.61236337,1.811914827,1.206148594,3.002527317,1.885940343,4.88846766,-0.198474078,0.493334923,0.294860845,0.169365101,0.464225946,0.180864682,0.645090629,0.250988312,0.138674679,0.176934712,0.103237395,0.291903822,0.161596467
33,D15,Great Basin,ONAQ,Onaqui,UT,40.17759,-112.45244,1685,9.3,349,8930,20,2016,2019,4,30,4.637789944,1.711543135,0.850573801,2.578953406,1.827765842,4.406719247,0.137849891,0.389469584,0.527319474,0.236357391,0.763676865,0.414098236,1.177775101,0.265146919,0.490280557,0.521898402,0.300262569,0.282456463,0.329020326
34,D16,Pacific Northwest,ABBY,Abby Road,WA,45.76243,-122.33033,363,8.3,2556,5184,63,2017,2020,4,33,4.26603372,1.989973637,1.258095115,3.230325182,1.627547358,4.85787254,0.191980693,0.495983354,0.687964047,0.482227705,1.170191752,0.412178612,1.582370364,0.027636715,-1.037930817,0.109166596,0.099002927,0.458960404,0.217239332
35,D19,Taiga,DEJU,Delta Junction,AK,63.88112,-145.75136,529,-3.1,300,13008,78,2016,2019,4,31,3.911299409,1.945189844,0.931137645,2.875476425,1.699234554,4.574710979,0.287749466,0.329179598,0.616929064,0.345305981,0.962235045,0.131509301,1.093744346,0.002334934,-0.028523368,-0.031248303,0.078542407,0.192233452,0.110472802
36,D19,Taiga,HEAL,Healy,AK,63.87569,-149.21334,705,-4.6,398,11598,66,2016,2019,4,32,4.418228871,2.042513121,0.669084395,2.732234554,1.571830539,4.304065093,0.379376569,0.502912715,0.882289283,0.495488697,1.37777798,0.275068699,1.652846679,0.10889722,0.571806265,0.396319224,0.198084968,0.329051758,0.281712461
